"ds_codigo","ds_nome"
"01","AGUA RASA"
"02","ALTO DE PINHEIROS"
"03","ANHANGUERA"
"04","ARICANDUVA"
"05","ARTUR ALVIM"
"06","BARRA FUNDA"
"07","BELA VISTA"
"08","BELEM"
"09","BOM RETIRO"
"10","BRAS"
"11","BRASILANDIA"
"12","BUTANTA"
"13","CACHOEIRINHA"
"14","CAMBUCI"
"15","CAMPO BELO"
"16","CAMPO GRANDE"
"17","CAMPO LIMPO"
"18","CANGAIBA"
"19","CAPAO REDONDO"
"20","CARRAO"
"21","CASA VERDE"
"22","CIDADE ADEMAR"
"23","CIDADE DUTRA"
"24","CIDADE LIDER"
"25","CIDADE TIRADENTES"
"26","CONSOLACAO"
"27","CURSINO"
"28","ERMELINO MATARAZZO"
"29","FREGUESIA DO O"
"30","GRAJAU"
"31","GUAIANASES"
"32","MOEMA"
"33","IGUATEMI"
"34","IPIRANGA"
"35","ITAIM BIBI"
"36","ITAIM PAULISTA"
"37","ITAQUERA"
"38","JABAQUARA"
"39","JACANA"
"40","JAGUARA"
"41","JAGUARE"
"42","JARAGUA"
"43","JARDIM ANGELA"
"44","JARDIM HELENA"
"45","JARDIM PAULISTA"
"46","JARDIM SAO LUIS"
"47","JOSE BONIFACIO"
"48","LAPA"
"49","LIBERDADE"
"50","LIMAO"
"51","MANDAQUI"
"52","MARSILAC"
"53","MOOCA"
"54","MORUMBI"
"55","PARELHEIROS"
"56","PARI"
"57","PARQUE DO CARMO"
"58","PEDREIRA"
"59","PENHA"
"60","PERDIZES"
"61","PERUS"
"62","PINHEIROS"
"63","PIRITUBA"
"64","PONTE RASA"
"65","RAPOSO TAVARES"
"66","REPUBLICA"
"67","RIO PEQUENO"
"68","SACOMA"
"69","SANTA CECILIA"
"70","SANTANA"
"71","SANTO AMARO"
"72","SAO LUCAS"
"73","SAO MATEUS"
"74","SAO MIGUEL"
"75","SAO RAFAEL"
"76","SAPOPEMBA"
"77","SAUDE"
"78","SE"
"79","SOCORRO"
"80","TATUAPE"
"81","TREMEMBE"
"82","TUCURUVI"
"83","VILA ANDRADE"
"84","VILA CURUCA"
"85","VILA FORMOSA"
"86","VILA GUILHERME"
"87","VILA JACUI"
"88","VILA LEOPOLDINA"
"89","VILA MARIA"
"90","VILA MARIANA"
"91","VILA MATILDE"
"92","VILA MEDEIROS"
"93","VILA PRUDENTE"
"94","VILA SONIA"
"95","SAO DOMINGOS"
"96","LAJEADO"
